Grid_Dimension,Number_of_Steps,Number_of_Cores,Poisson,BC,Total_Computation_Time(ms)
50x50,100,2,0,1,830
50x50,100,2,0,1,764
50x50,100,2,0,1,753
50x50,100,2,0,1,847
50x50,100,3,0,1,740
50x50,100,3,0,1,692
50x50,100,3,0,1,720
50x50,100,3,0,1,689
50x50,100,3,0,1,664
50x50,100,4,0,1,697
50x50,100,4,0,1,644
50x50,100,4,0,1,652
50x50,100,4,0,1,712
50x50,100,4,0,1,669
50x50,100,5,0,1,754
50x50,100,5,0,1,647
50x50,100,5,0,1,657
50x50,100,5,0,1,776
50x50,100,5,0,1,702
50x50,100,6,0,1,639
50x50,100,6,0,1,670
50x50,100,6,0,1,676
50x50,100,6,0,1,696
50x50,100,6,0,1,630
50x50,100,7,0,1,793
50x50,100,7,0,1,873
50x50,100,7,0,1,739
50x50,100,7,0,1,662
50x50,100,7,0,1,806
50x50,100,8,0,1,712
50x50,100,8,0,1,695
50x50,100,8,0,1,3748
50x50,100,8,0,1,695
50x50,100,8,0,1,844
50x50,100,9,0,1,753
50x50,100,9,0,1,704
50x50,100,9,0,1,707
50x50,100,9,0,1,647
50x50,100,9,0,1,617
50x50,100,10,0,1,696
50x50,100,10,0,1,805
50x50,100,10,0,1,608
50x50,100,10,0,1,807
50x50,100,10,0,1,719
50x50,100,11,0,1,797
50x50,100,11,0,1,885
50x50,100,11,0,1,758
50x50,100,11,0,1,621
50x50,100,11,0,1,1141
50x50,100,12,0,1,1138
50x50,100,12,0,1,1229
50x50,100,12,0,1,1256
50x50,100,12,0,1,891
50x50,100,12,0,1,1226
50x50,100,13,0,1,929
50x50,100,13,0,1,908
50x50,100,13,0,1,1029
50x50,100,13,0,1,1043
50x50,100,13,0,1,1095
50x50,100,14,0,1,954
50x50,100,14,0,1,967
50x50,100,14,0,1,966
50x50,100,14,0,1,965
50x50,100,14,0,1,972
50x50,100,14,0,1,4262
50x50,100,1,1,1,2527
50x50,100,1,1,1,2684
50x50,100,1,1,1,2547
50x50,100,1,1,1,2659
50x50,100,1,1,1,2657
50x50,100,2,1,1,1842
50x50,100,2,1,1,4775
50x50,100,2,1,1,1740
50x50,100,2,1,1,1883
50x50,100,2,1,1,1847
50x50,100,3,1,1,1729
50x50,100,3,1,1,1704
50x50,100,3,1,1,1713
50x50,100,3,1,1,1718
50x50,100,3,1,1,1691
50x50,100,4,1,1,1681
50x50,100,4,1,1,1618
50x50,100,4,1,1,1634
50x50,100,4,1,1,1660
50x50,100,4,1,1,1654
